TIME,DATA_VALUE,cpi
2010-01-01,1138.82,1138.82
2010-02-01,1157.08,1157.08
2010-03-01,1137.64,1137.64
2010-04-01,1117.11,1117.11
2010-05-01,1163.11,1163.11
2010-06-01,1212.33,1212.33
2010-07-01,1207.3,1207.3
2010-08-01,1179.92,1179.92
2010-09-01,1167.01,1167.01
2010-10-01,1123.45,1123.45
2010-11-01,1126.2,1126.2
2010-12-01,1147.55,1147.55
2011-01-01,1120.07,1120.07
2011-02-01,1118.14,1118.14
2011-03-01,1122.45,1122.45
2011-04-01,1086.84,1086.84
2011-05-01,1083.54,1083.54
2011-06-01,1081.27,1081.27
2011-07-01,1059.5,1059.5
2011-08-01,1073.17,1073.17
2011-09-01,1118.61,1118.61
2011-10-01,1155.45,1155.45
2011-11-01,1132.31,1132.31
2011-12-01,1147.45,1147.45
2012-01-01,1145.85,1145.85
2012-02-01,1123.35,1123.35
2012-03-01,1125.9,1125.9
2012-04-01,1135.55,1135.55
2012-05-01,1154.27,1154.27
2012-06-01,1165.51,1165.51
2012-07-01,1143.36,1143.36
2012-08-01,1131.69,1131.69
2012-09-01,1124.78,1124.78
2012-10-01,1106.93,1106.93
2012-11-01,1087.52,1087.52
2012-12-01,1076.97,1076.97
2013-01-01,1065.35,1065.35
2013-02-01,1086.68,1086.68
2013-03-01,1102.2,1102.2
2013-04-01,1121.83,1121.83
2013-05-01,1110.67,1110.67
2013-06-01,1135.21,1135.21
2013-07-01,1127.23,1127.23
2013-08-01,1116.98,1116.98
2013-09-01,1087.35,1087.35
2013-10-01,1066.8,1066.8
2013-11-01,1062.82,1062.82
2013-12-01,1056.67,1056.67
2014-01-01,1064.75,1064.75
2014-02-01,1071.3,1071.3
2014-03-01,1070.89,1070.89
2014-04-01,1044.55,1044.55
2014-05-01,1024.99,1024.99
2014-06-01,1019.36,1019.36
2014-07-01,1019.93,1019.93
2014-08-01,1025.36,1025.36
2014-09-01,1033.24,1033.24
2014-10-01,1060.28,1060.28
2014-11-01,1095.1,1095.1
2014-12-01,1104.33,1104.33
2015-01-01,1088.86,1088.86
2015-02-01,1098.4,1098.4
2015-03-01,1112.57,1112.57
2015-04-01,1088.66,1088.66
2015-05-01,1091.27,1091.27
2015-06-01,1112.2,1112.2
2015-07-01,1143.22,1143.22
2015-08-01,1179.1,1179.1
2015-09-01,1184.76,1184.76
2015-10-01,1148.18,1148.18
2015-11-01,1151.97,1151.97
2015-12-01,1172.24,1172.24
2016-01-01,1201.67,1201.67
2016-02-01,1217.35,1217.35
2016-03-01,1188.21,1188.21
2016-04-01,1147.51,1147.51
2016-05-01,1171.51,1171.51
2016-06-01,1170.5,1170.5
2016-07-01,1144.09,1144.09
2016-08-01,1111.68,1111.68
2016-09-01,1107.49,1107.49
2016-10-01,1125.28,1125.28
2016-11-01,1161.64,1161.64
2016-12-01,1182.28,1182.28
2017-01-01,1185.1,1185.1
2017-02-01,1144.92,1144.92
2017-03-01,1134.77,1134.77
2017-04-01,1132.73,1132.73
2017-05-01,1125.28,1125.28
2017-06-01,1130.04,1130.04
2017-07-01,1134.4,1134.4
2017-08-01,1130.79,1130.79
2017-09-01,1131.59,1131.59
2017-10-01,1131.57,1131.57
2017-11-01,1105.04,1105.04
2017-12-01,1085.78,1085.78
2018-01-01,1066.7,1066.7
2018-02-01,1079.58,1079.58
2018-03-01,1071.89,1071.89
2018-04-01,1067.76,1067.76
2018-05-01,1076.39,1076.39
2018-06-01,1092.8,1092.8
2018-07-01,1122.8,1122.8
2018-08-01,1121.15,1121.15
2018-09-01,1120.6,1120.6
2018-10-01,1130.81,1130.81
2018-11-01,1128.58,1128.58
2018-12-01,1122.9,1122.9
2019-01-01,1122,1122.0
2019-02-01,1122.45,1122.45
2019-03-01,1130.72,1130.72
2019-04-01,1140.95,1140.95
2019-05-01,1183.29,1183.29
2019-06-01,1175.62,1175.62
2019-07-01,1175.31,1175.31
2019-08-01,1208.98,1208.98
2019-09-01,1197.55,1197.55
2019-10-01,1184.13,1184.13
2019-11-01,1167.45,1167.45
2019-12-01,1175.84,1175.84
2020-01-01,1164.28,1164.28
2020-02-01,1193.79,1193.79
2020-03-01,1220.09,1220.09
2020-04-01,1225.23,1225.23
2020-05-01,1228.67,1228.67
2020-06-01,1210.01,1210.01
2020-07-01,1198.9,1198.9
2020-08-01,1186.85,1186.85
2020-09-01,1178.8,1178.8
2020-10-01,1144.68,1144.68
2020-11-01,1116.76,1116.76
2020-12-01,1095.13,1095.13
2021-01-01,1097.49,1097.49
2021-02-01,1111.72,1111.72
2021-03-01,1131.02,1131.02
2021-04-01,1119.4,1119.4
2021-05-01,1123.28,1123.28
2021-06-01,1121.3,1121.3
2021-07-01,1143.98,1143.98
2021-08-01,1160.34,1160.34
2021-09-01,1169.54,1169.54
